TimeStamp,ch1,ch2,ch3,ch4
1844.3692,563.1,1066.73,-7869.82,2957.63
1844.3732,573.21,1075.94,-7851.89,2970.08
1844.3772,566.2,1078.03,-7834.86,2977.32
1844.3812,544.45,1063.06,-7857.23,2957.96
1844.3852,556.56,1068.74,-7863.95,2963.02
1844.3892,579.26,1077.99,-7868.05,2964.97
1844.3932,577.78,1075.55,-7867.34,2961.11
1844.3972,562.43,1074.79,-7846.07,2969.65
1844.4012,557.76,1075.41,-7836.58,2975.89
1844.4052,572.97,1081.47,-7843.35,2977.9
1844.4092,578.88,1078.13,-7860.9,2965.64
1844.4132,572.59,1071.5,-7861.47,2958.2
1844.4172,563.34,1074.22,-7844.59,2966.45
1844.4212,551.37,1069.31,-7843.4,2969.03
1844.4252,563.43,1077.65,-7846.4,2978.75
1844.4292,582.84,1084.9,-7859.37,2974.56
1844.4332,582.93,1084.33,-7843.64,2975.51
1844.4372,573.49,1086.81,-7817.46,2986.96
1844.4412,564.05,1084.47,-7819.13,2988.53
1844.4452,573.54,1087.47,-7827.86,2986.43
1844.4492,583.17,1088.48,-7831.19,2983.76
1844.4532,590.94,1097.25,-7803.15,2997.02
1844.4572,585.22,1101.16,-7781.84,3006.6
1844.4612,573.21,1094.29,-7793.95,2998.02
1844.4652,565.24,1078.03,-7833.67,2972.84
1844.4692,582.36,1086.86,-7834.05,2978.52
1844.4732,592.52,1099.16,-7811.26,2993.25
1844.4772,583.08,1099.35,-7794.91,2999.21
1844.4812,577.83,1099.63,-7785.51,3005.41
1844.4852,589.61,1102.78,-7785.27,3009.8
1844.4892,590.66,1093.39,-7808.54,2994.01
1844.4932,593.52,1095.91,-7805.4,2991.82
1844.4972,591.66,1103.45,-7782.03,3005.22
1844.5009,576.5,1096.63,-7786.18,3001.5
1844.5049,572.11,1086.33,-7820.7,2983.43
1844.5089,583.46,1088.95,-7830.67,2980.8
1844.5129,594.09,1098.11,-7811.5,2990.77
1844.5169,595.0,1105.26,-7783.51,3005.5
1844.5209,572.3,1091.86,-7792.47,2996.25
1844.5249,572.06,1085.33,-7812.83,2985.14
1844.5289,570.34,1075.65,-7836.91,2969.46
1844.5329,593.04,1094.39,-7808.3,2987.86
1844.5369,589.37,1099.16,-7793.71,2996.87
1844.5409,553.66,1073.89,-7818.75,2976.32
1844.5449,557.04,1070.93,-7831.05,2971.41
1844.5489,576.16,1079.94,-7829.67,2975.85
1844.5529,576.07,1078.27,-7824.52,2973.37
1844.5569,572.35,1081.13,-7812.93,2979.57
1844.5609,571.44,1086.14,-7805.44,2986.34
1844.5649,563.76,1074.36,-7826.14,2973.65
1844.5689,582.7,1085.95,-7823.66,2978.9
1844.5729,589.8,1091.62,-7810.64,2985.29
1844.5769,579.83,1088.05,-7801.63,2986.62
1844.5809,567.34,1083.47,-7799.91,2985.86
1844.5849,567.1,1076.51,-7816.65,2973.56
1844.5889,575.11,1076.13,-7832.58,2967.21
1844.5929,585.08,1082.71,-7828.57,2971.89
1844.5969,579.5,1086.24,-7805.68,2980.9
1844.6009,569.53,1088.05,-7791.42,2990.77
1844.6049,569.06,1082.37,-7804.68,2984.19
1844.6089,572.49,1078.18,-7836.06,2968.5
1844.6129,578.36,1079.61,-7831.53,2968.12
1844.6169,582.41,1086.76,-7800.29,2983.28
1844.6209,584.13,1098.01,-7777.36,3002.79
1844.6249,575.4,1084.18,-7814.79,2981.09
1844.6289,587.13,1085.95,-7826.85,2975.42
1844.6326,591.47,1086.71,-7818.08,2975.99
1844.6366,586.27,1089.0,-7793.62,2987.91
1844.6406,559.47,1071.98,-7806.02,2975.13
1844.6446,564.48,1073.74,-7819.61,2972.03
1844.6486,586.61,1086.57,-7820.51,2978.66
1844.6526,599.38,1094.44,-7807.11,2983.71
1844.6566,588.27,1091.67,-7795.1,2987.0
1844.6606,573.59,1088.14,-7788.33,2987.19
1844.6646,567.05,1076.41,-7815.08,2971.7
1844.6686,572.4,1071.6,-7830.53,2962.02
1844.6726,592.52,1086.76,-7813.41,2976.08
1844.6766,583.36,1087.47,-7793.24,2985.81
1844.6806,574.73,1089.24,-7781.13,2993.15
1844.6846,582.41,1089.0,-7795.19,2989.96
1844.6886,589.99,1087.0,-7809.02,2980.04
1844.6926,591.47,1085.81,-7805.49,2977.04
1844.6966,583.46,1087.09,-7789.33,2986.1
1844.7006,575.69,1088.62,-7780.36,2994.01
1844.7046,581.79,1087.62,-7794.05,2989.48
1844.7086,597.48,1093.58,-7800.25,2986.86
1844.7126,601.2,1096.73,-7786.47,2993.54
1844.7166,584.65,1089.14,-7778.88,2990.91
1844.7206,576.5,1090.29,-7774.31,2994.44
1844.7246,579.55,1087.76,-7789.71,2990.77
1844.7286,594.62,1090.81,-7797.1,2986.91
1844.7326,605.3,1096.44,-7783.8,2990.77
1844.7366,599.58,1097.3,-7764.86,2998.4
