TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1844.4077,-905.728,192.272,-405.833,1163.75,157.5,-3158.75,550.24,-304.0,262.96
1844.4577,-900.36,193.004,-409.31,-297.5,-1032.5,-4025.0,556.32,-302.48,244.72
1844.5077,-903.715,188.246,-406.687,-1365.0,-1408.75,-4051.25,545.68,-302.48,255.36
1844.5577,-903.41,188.734,-402.112,-1907.5,-2152.5,-3727.5,559.36,-304.0,256.88
1844.6077,-903.715,182.146,-393.145,-1347.5,-1662.5,-4077.5,545.68,-300.96,258.4
1844.6577,-908.717,178.791,-395.097,1592.5,-1566.25,-3176.25,542.64,-300.96,270.56
1844.7077,-914.512,181.536,-395.89,2222.5,-2161.25,-3132.5,550.24,-293.36,258.4
1844.7577,-906.826,182.085,-399.855,2275.0,-1793.75,-2861.25,551.76,-314.64,258.4
1844.8077,-903.227,179.035,-397.476,2030.0,-1321.25,-2345.0,559.36,-302.48,253.84
1844.8577,-909.144,181.719,-402.051,1653.75,-1575.0,-2747.5,557.84,-311.6,259.92
1844.9077,-910.425,181.902,-394.67,1260.0,-2703.75,-3403.75,547.2,-307.04,246.24
1844.9577,-905.728,178.852,-386.435,892.5,-2248.75,-2275.0,542.64,-300.96,269.04
1845.0077,-906.948,193.919,-393.267,350.0,-52.5,-2423.75,550.24,-304.0,252.32
1845.0577,-908.534,198.738,-394.365,-183.75,-437.5,-2660.0,554.8,-305.52,255.36
1845.1077,-893.04,218.807,-389.119,-1697.5,350.0,-1758.75,550.24,-310.08,252.32
1845.1577,-860.1,209.718,-400.77,201.25,6265.0,-5241.25,548.72,-297.92,253.84
1845.2077,-942.511,212.219,-404.247,-638.75,533.75,-8085.0,551.76,-308.56,261.44
1845.2577,-893.894,202.642,-383.69,-5591.25,323.75,-14052.5,544.16,-288.8,240.16
1845.3077,-952.759,178.73,-383.995,-6046.25,-2318.75,-16126.25,566.96,-287.28,256.88
1845.3577,-886.757,145.912,-378.444,-4112.5,2318.75,-11445.0,568.48,-297.92,247.76
1845.4077,-895.907,150.731,-404.064,-105.0,6343.75,-7498.75,550.24,-304.0,250.8
1845.4577,-898.408,161.528,-426.573,-350.0,3158.75,-6125.0,559.36,-300.96,253.84
1845.5077,-874.313,156.526,-421.205,-1583.75,1881.25,-7551.25,547.2,-290.32,266.0
1845.5577,-915.854,160.735,-430.172,-1837.5,840.0,-6938.75,553.28,-291.84,249.28
1845.6077,-908.412,149.267,-424.865,-1741.25,-2528.75,-6728.75,556.32,-285.76,249.28
1845.6577,-864.37,149.328,-412.116,7183.75,7665.0,-3132.5,556.32,-285.76,259.92
1845.7077,-865.102,145.729,-415.227,5267.5,1898.75,-6405.0,560.88,-282.72,272.08
1845.7577,-862.967,119.194,-424.926,5906.25,7612.5,-6763.75,563.92,-279.68,252.32
1845.8077,-936.594,121.939,-447.13,4051.25,2423.75,-6938.75,563.92,-272.08,262.96
1845.8577,-927.993,101.382,-437.431,1321.25,-3561.25,-6947.5,556.32,-273.6,272.08
