TimeStamp,ch1,ch2,ch3,ch4
2106.6695,437.78,-1551.39,-7562.45,1534.03
2106.6735,423.15,-1560.35,-7575.18,1522.06
2106.6775,426.96,-1565.03,-7602.74,1508.86
2106.6815,442.98,-1557.06,-7609.18,1512.38
2106.6855,445.56,-1552.96,-7585.81,1523.64
2106.6895,432.3,-1557.16,-7569.17,1526.4
2106.6935,418.71,-1565.03,-7578.09,1519.06
2106.6975,423.38,-1568.7,-7607.08,1506.9
2106.7015,433.59,-1567.98,-7622.2,1501.94
2106.7055,435.64,-1561.64,-7595.64,1516.39
2106.7095,428.92,-1557.54,-7567.6,1527.45
2106.7135,413.47,-1567.51,-7576.56,1517.92
2106.7175,418.9,-1571.99,-7607.56,1504.8
2106.7215,431.39,-1570.37,-7621.67,1501.61
2106.7255,434.3,-1562.93,-7598.02,1513.05
2106.7295,425.48,-1562.5,-7577.66,1519.63
2106.7335,415.99,-1566.36,-7580.61,1514.24
2106.7375,423.48,-1567.41,-7605.17,1506.33
2106.7415,439.02,-1563.12,-7615.38,1507.33
2106.7455,445.22,-1554.39,-7587.43,1523.16
2106.7495,435.64,-1554.35,-7563.54,1531.6
2106.7535,424.29,-1559.07,-7568.79,1526.4
2106.7575,428.15,-1562.4,-7596.16,1513.39
2106.7615,436.74,-1563.64,-7614.18,1507.23
2106.7655,442.31,-1557.54,-7591.82,1520.49
2106.7695,433.87,-1556.59,-7569.41,1529.65
2106.7735,419.09,-1565.17,-7577.18,1520.35
2106.7775,424.53,-1567.08,-7603.17,1509.76
2106.7815,441.31,-1563.36,-7614.95,1509.09
2106.7855,445.94,-1555.49,-7589.91,1522.11
2106.7895,433.16,-1557.64,-7570.27,1526.07
2106.7935,419.9,-1565.17,-7577.99,1518.54
2106.7975,423.48,-1570.65,-7607.17,1504.33
2106.8013,435.07,-1571.23,-7624.87,1497.22
2106.8053,438.02,-1568.37,-7605.84,1505.09
2106.8093,424.05,-1569.56,-7582.71,1511.62
2106.8133,410.75,-1575.42,-7585.57,1505.61
2106.8173,419.76,-1575.99,-7611.7,1497.89
2106.8213,434.78,-1569.99,-7625.87,1497.32
2106.8253,438.12,-1564.84,-7606.08,1507.9
2106.8293,425.72,-1567.55,-7585.72,1511.53
2106.8333,411.7,-1574.23,-7590.34,1504.61
2106.8373,420.86,-1571.51,-7609.32,1499.08
2106.8413,433.02,-1570.32,-7625.39,1494.98
2106.8453,431.01,-1571.85,-7611.32,1499.27
2106.8493,426.48,-1568.94,-7584.67,1509.86
2106.8533,412.08,-1574.47,-7585.29,1507.09
2106.8573,411.13,-1581.0,-7614.85,1494.84
2106.8613,420.95,-1579.81,-7629.44,1490.16
2106.8653,426.15,-1573.66,-7607.27,1503.28
2106.8693,416.9,-1573.09,-7583.71,1511.76
2106.8733,405.55,-1579.09,-7590.1,1504.56
2106.8773,410.41,-1582.86,-7619.1,1491.36
2106.8813,423.77,-1578.86,-7634.97,1490.16
2106.8853,428.87,-1572.04,-7613.85,1500.94
2106.8893,419.66,-1570.84,-7588.34,1510.95
2106.8933,406.36,-1576.61,-7591.58,1507.14
2106.8973,411.89,-1578.33,-7620.05,1496.03
2106.9013,425.01,-1576.38,-7632.4,1491.26
2106.9053,429.58,-1573.28,-7612.18,1500.13
2106.9093,422.14,-1568.89,-7584.62,1514.29
2106.9133,403.55,-1578.43,-7593.35,1504.09
2106.9173,405.69,-1582.48,-7622.34,1491.12
2106.9213,420.67,-1576.95,-7634.59,1490.5
2106.9253,429.77,-1568.13,-7608.7,1506.71
2106.9293,420.81,-1569.08,-7582.52,1514.58
2106.933,406.79,-1576.14,-7587.62,1507.33
2106.937,411.18,-1578.0,-7615.9,1496.84
2106.941,425.77,-1571.13,-7629.68,1497.41
2106.945,428.49,-1567.7,-7613.71,1504.37
2106.949,416.18,-1569.08,-7590.39,1509.62
2106.953,403.69,-1577.47,-7593.73,1501.99
2106.957,407.17,-1581.14,-7621.96,1491.4
2106.961,420.38,-1577.47,-7634.55,1489.97
2106.965,424.19,-1571.32,-7613.71,1500.8
2106.969,418.0,-1568.89,-7591.2,1509.57
2106.973,404.6,-1574.14,-7592.82,1505.23
2106.977,410.75,-1574.09,-7612.8,1498.17
2106.981,426.91,-1569.22,-7621.29,1498.46
2106.985,433.97,-1561.74,-7601.17,1511.43
2106.989,425.86,-1560.78,-7580.19,1519.11
2106.993,410.41,-1570.75,-7585.86,1510.29
2106.997,412.37,-1574.99,-7613.99,1497.75
2107.001,423.81,-1573.04,-7632.07,1493.22
2107.005,433.06,-1564.5,-7609.65,1506.95
2107.009,419.33,-1566.7,-7584.67,1513.67
2107.013,403.79,-1575.09,-7587.53,1506.61
2107.017,406.41,-1578.05,-7616.71,1494.36
2107.021,416.76,-1577.66,-7635.45,1487.83
2107.025,426.72,-1569.08,-7610.8,1501.66
2107.029,416.61,-1570.8,-7590.01,1508.38
2107.033,404.88,-1574.8,-7588.82,1508.24
2107.037,409.84,-1575.66,-7613.95,1498.32
2107.041,423.72,-1572.42,-7630.78,1493.93
2107.045,436.5,-1558.59,-7602.98,1511.96
2107.049,430.06,-1555.49,-7576.04,1523.4
2107.053,412.94,-1563.88,-7579.61,1514.63
2107.057,412.61,-1571.75,-7609.37,1500.27
2107.061,423.0,-1574.42,-7630.54,1491.07
2107.0648,430.68,-1567.22,-7607.51,1503.99
2107.0688,424.19,-1565.08,-7581.33,1515.25
2107.0728,411.61,-1570.42,-7579.9,1512.34
2107.0768,417.85,-1571.18,-7603.74,1504.71
2107.0808,428.34,-1570.22,-7621.34,1499.7
2107.0848,432.68,-1566.93,-7604.93,1507.95
2107.0888,418.95,-1572.51,-7588.15,1510.91
2107.0928,403.55,-1580.1,-7592.97,1504.23
2107.0968,409.94,-1580.67,-7618.62,1493.12
2107.1008,421.43,-1578.38,-7636.6,1487.4
2107.1048,432.73,-1569.56,-7610.32,1505.04
2107.1088,426.91,-1565.08,-7583.43,1517.2
2107.1128,412.85,-1569.89,-7583.0,1513.62
2107.1168,413.61,-1574.99,-7611.85,1500.7
2107.1208,421.76,-1575.33,-7631.59,1493.88
2107.1248,429.34,-1567.32,-7609.99,1506.28
2107.1288,423.77,-1563.64,-7580.57,1518.15
2107.1328,411.65,-1568.13,-7577.28,1513.39
2107.1368,416.95,-1573.37,-7603.6,1502.42
2107.1408,426.72,-1574.28,-7626.39,1494.84
2107.1448,433.06,-1567.46,-7606.94,1505.8
2107.1488,425.77,-1565.6,-7579.52,1516.2
2107.1528,410.37,-1571.56,-7582.0,1511.0
2107.1568,415.37,-1572.04,-7606.41,1502.56
2107.1608,426.48,-1570.56,-7619.33,1498.89
2107.1648,436.54,-1561.45,-7596.16,1513.67
2107.1688,433.06,-1556.02,-7567.5,1527.69
2107.1728,416.33,-1565.31,-7570.22,1519.49
2107.1768,416.66,-1571.18,-7599.07,1505.33
2107.1808,427.77,-1569.8,-7616.0,1501.13
2107.1848,436.02,-1564.22,-7600.31,1511.0
2107.1888,431.97,-1561.88,-7575.89,1520.54
2107.1928,414.85,-1569.37,-7575.8,1514.63
2107.1965,416.23,-1570.75,-7600.45,1504.95
2107.2005,427.96,-1567.94,-7620.0,1499.61
2107.2045,432.78,-1565.55,-7608.84,1505.66
2107.2085,424.62,-1567.17,-7585.38,1512.62
2107.2125,405.5,-1575.28,-7585.86,1507.66
2107.2165,409.03,-1579.86,-7613.71,1495.31
2107.2205,426.1,-1574.14,-7626.39,1494.22
2107.2245,437.31,-1562.55,-7602.74,1510.91
2107.2285,427.53,-1562.31,-7576.7,1520.63
2107.2325,411.08,-1569.46,-7575.23,1515.34
2107.2365,414.8,-1572.56,-7604.12,1503.9
2107.2405,427.68,-1568.56,-7620.53,1500.08
2107.2445,438.64,-1561.12,-7603.36,1509.71
2107.2485,430.3,-1561.69,-7580.42,1517.92
2107.2525,411.8,-1572.8,-7582.81,1510.48
2107.2565,416.37,-1575.52,-7608.7,1500.56
2107.2605,426.96,-1574.85,-7629.11,1494.17
2107.2645,432.68,-1571.94,-7615.28,1500.42
2107.2685,427.1,-1570.84,-7589.15,1508.9
2107.2725,414.75,-1573.52,-7586.24,1505.66
2107.2765,417.42,-1576.42,-7611.47,1495.79
2107.2805,429.34,-1574.95,-7629.35,1489.88
2107.2845,437.69,-1568.03,-7611.85,1500.99
2107.2885,429.3,-1565.89,-7586.29,1512.05
2107.2925,409.36,-1573.37,-7585.43,1506.52
2107.2965,410.22,-1577.09,-7610.85,1496.36
2107.3005,418.71,-1578.81,-7632.45,1488.4
2107.3045,423.91,-1575.18,-7618.91,1496.84
2107.3085,421.57,-1570.8,-7590.63,1509.67
2107.3125,405.79,-1576.47,-7587.67,1506.04
2107.3165,411.94,-1576.14,-7609.27,1499.51
2107.3205,423.81,-1574.71,-7629.49,1493.12
2107.3245,427.96,-1569.89,-7618.29,1500.56
2107.3283,420.48,-1569.41,-7592.63,1509.09
2107.3323,405.26,-1576.19,-7590.82,1503.66
2107.3363,409.65,-1578.0,-7615.33,1495.17
2107.3403,417.8,-1582.05,-7640.46,1485.59
2107.3443,425.43,-1573.75,-7623.01,1498.27
2107.3483,422.19,-1568.65,-7595.35,1510.38
2107.3523,409.03,-1572.8,-7591.3,1507.9
2107.3563,415.47,-1573.28,-7616.09,1498.65
2107.3603,424.91,-1573.99,-7639.22,1490.5
2107.3643,430.87,-1569.94,-7625.87,1498.56
2107.3683,426.82,-1564.07,-7591.34,1514.72
2107.3723,410.99,-1572.23,-7586.86,1510.19
2107.3763,414.66,-1573.56,-7615.42,1501.08
2107.3803,427.87,-1569.08,-7630.49,1499.8
2107.3843,435.3,-1564.74,-7616.09,1506.71
2107.3883,430.87,-1560.78,-7585.96,1519.58
2107.3923,415.75,-1565.5,-7580.14,1518.58
2107.3963,418.85,-1566.84,-7603.84,1508.76
2107.4003,428.01,-1565.65,-7622.91,1503.9
2107.4043,437.5,-1559.54,-7609.03,1512.77
2107.4083,428.72,-1561.74,-7586.43,1519.01
2107.4123,406.89,-1571.27,-7587.05,1509.95
2107.4163,406.31,-1575.52,-7613.47,1498.84
2107.4203,419.9,-1571.85,-7627.68,1497.75
2107.4243,428.63,-1565.93,-7614.42,1507.47
2107.4283,418.33,-1567.41,-7592.68,1512.24
2107.4323,403.74,-1573.09,-7586.43,1508.19
2107.4363,408.79,-1573.42,-7608.7,1500.23
2107.4403,418.57,-1575.33,-7633.5,1491.79
2107.4443,426.77,-1572.85,-7621.53,1497.41
2107.4483,420.95,-1570.61,-7595.83,1507.85
2107.4523,405.65,-1576.38,-7593.97,1504.61
2107.4563,405.22,-1581.81,-7620.53,1491.31
2107.46,415.13,-1581.53,-7640.89,1484.54
2107.464,424.53,-1574.9,-7625.44,1495.08
2107.468,416.42,-1575.14,-7601.64,1503.9
2107.472,399.07,-1581.24,-7599.69,1500.42
2107.476,403.93,-1582.67,-7622.58,1492.07
2107.48,416.76,-1581.05,-7639.98,1487.02
2107.484,430.77,-1571.27,-7625.39,1498.99
2107.488,428.01,-1565.22,-7594.68,1513.24
2107.492,411.56,-1570.8,-7585.48,1512.15
2107.496,410.46,-1577.95,-7614.04,1498.32
2107.5,419.43,-1580.19,-7636.69,1489.26
2107.504,429.82,-1572.56,-7622.53,1500.61
2107.508,427.29,-1567.13,-7592.58,1514.24
2107.512,409.84,-1574.8,-7591.06,1507.19
2107.516,409.08,-1578.9,-7617.81,1494.31
2107.52,418.57,-1577.23,-7637.88,1488.78
2107.524,425.24,-1573.18,-7630.64,1494.55
2107.528,415.18,-1576.52,-7610.27,1499.22
2107.532,399.97,-1582.77,-7604.98,1494.55
2107.536,400.02,-1583.91,-7634.12,1484.82
2107.54,413.89,-1579.95,-7650.38,1482.39
2107.544,427.77,-1568.6,-7632.54,1496.17
2107.548,423.77,-1566.08,-7601.26,1508.95
2107.552,408.7,-1571.32,-7594.49,1506.28
2107.556,409.17,-1576.04,-7617.52,1494.36
2107.56,421.57,-1574.18,-7637.88,1488.92
2107.564,436.5,-1562.45,-7620.14,1504.14
2107.568,427.68,-1563.02,-7595.87,1512.24
2107.572,410.65,-1569.8,-7589.44,1509.24
2107.576,408.41,-1577.09,-7617.19,1494.79
2107.58,414.37,-1578.52,-7637.64,1484.78
2107.584,426.39,-1571.18,-7626.87,1494.36
2107.588,431.3,-1561.21,-7594.44,1511.86
2107.5918,414.75,-1566.51,-7586.38,1511.38
2107.5958,412.89,-1572.13,-7612.99,1497.32
2107.5998,423.15,-1572.51,-7635.79,1489.88
2107.6038,435.3,-1565.41,-7624.29,1497.41
2107.6078,431.01,-1561.88,-7598.02,1508.43
2107.6118,419.09,-1562.31,-7581.85,1512.38
2107.6158,420.57,-1565.89,-7608.56,1502.23
2107.6198,427.29,-1566.55,-7629.68,1495.36
2107.6238,434.35,-1561.69,-7619.81,1501.04
2107.6278,428.25,-1561.26,-7597.73,1509.14
2107.6318,417.42,-1562.79,-7585.76,1510.67
2107.6358,423.1,-1563.93,-7606.79,1501.8
2107.6398,432.35,-1562.21,-7627.11,1497.98
2107.6438,441.22,-1556.3,-7616.38,1508.38
2107.6478,438.98,-1551.44,-7588.53,1519.73
2107.6518,428.25,-1553.11,-7577.61,1521.4
2107.6558,423.0,-1560.16,-7605.65,1507.19
2107.6598,428.87,-1562.6,-7628.06,1498.65
2107.6638,435.54,-1560.59,-7621.38,1502.99
2107.6678,430.54,-1558.54,-7598.11,1509.81
2107.6718,414.8,-1563.88,-7588.67,1507.33
2107.6758,414.71,-1569.03,-7614.33,1496.84
2107.6798,424.81,-1571.46,-7637.12,1489.21
2107.6838,434.06,-1569.65,-7629.06,1494.74
2107.6878,427.63,-1567.46,-7601.93,1504.99
2107.6918,413.13,-1570.51,-7591.3,1503.9
2107.6958,410.94,-1575.9,-7618.48,1491.93
2107.6998,421.09,-1575.09,-7640.98,1484.68
2107.7038,429.82,-1568.89,-7629.63,1493.93
2107.7078,423.62,-1567.32,-7602.26,1505.33
2107.7118,412.99,-1568.17,-7589.67,1507.76
2107.7158,417.52,-1567.17,-7605.89,1503.04
2107.7198,424.39,-1568.89,-7629.63,1494.22
2107.7236,434.02,-1563.26,-7621.34,1501.51
2107.7276,430.01,-1560.88,-7595.78,1512.0
2107.7316,415.95,-1565.79,-7586.38,1509.09
2107.7356,414.51,-1570.42,-7610.75,1496.12
2107.7396,424.39,-1569.27,-7632.88,1489.16
2107.7436,434.21,-1561.02,-7622.58,1498.6
2107.7476,430.73,-1558.02,-7594.92,1511.48
2107.7516,415.8,-1563.88,-7588.53,1510.62
2107.7556,418.38,-1566.12,-7610.37,1502.18
2107.7596,427.2,-1565.55,-7632.21,1496.03
2107.7636,430.44,-1564.79,-7627.3,1498.03
2107.7676,424.77,-1563.74,-7600.55,1506.57
2107.7716,409.46,-1568.17,-7589.1,1505.57
2107.7756,407.84,-1575.09,-7615.42,1492.5
2107.7796,416.18,-1576.38,-7641.03,1483.87
2107.7836,430.68,-1568.51,-7631.83,1491.59
2107.7876,427.96,-1564.74,-7599.16,1505.52
2107.7916,410.6,-1570.65,-7590.58,1504.8
2107.7956,408.36,-1578.52,-7617.05,1491.12
2107.7996,416.42,-1579.28,-7638.84,1483.87
2107.8036,424.77,-1577.81,-7633.78,1488.83
2107.8076,418.66,-1575.52,-7608.84,1499.75
2107.8116,401.93,-1581.67,-7599.93,1498.03
2107.8156,401.64,-1585.2,-7623.39,1488.3
2107.8196,414.32,-1581.24,-7640.6,1485.73
2107.8236,424.19,-1578.86,-7635.64,1490.4
2107.8276,416.04,-1579.0,-7610.85,1497.79
2107.8316,401.4,-1582.43,-7597.97,1497.98
2107.8356,403.21,-1585.53,-7615.42,1490.74
2107.8396,413.47,-1586.01,-7638.65,1484.35
2107.8436,422.62,-1581.62,-7636.02,1488.78
2107.8476,419.71,-1579.14,-7610.42,1497.17
2107.8516,403.88,-1583.53,-7597.5,1498.13
2107.8553,405.26,-1584.53,-7613.99,1493.6
2107.8593,418.52,-1579.62,-7632.07,1490.59
2107.8633,430.35,-1572.32,-7623.86,1499.7
2107.8673,426.24,-1567.27,-7596.73,1511.0
2107.8713,416.28,-1568.65,-7584.95,1512.91
2107.8753,408.98,-1579.48,-7613.61,1496.7
2107.8793,416.66,-1581.19,-7634.55,1487.92
2107.8833,429.82,-1575.76,-7627.35,1494.22
2107.8873,426.29,-1571.85,-7601.6,1504.56
2107.8913,408.65,-1576.66,-7591.44,1502.47
2107.8953,406.89,-1581.67,-7613.14,1492.64
2107.8993,417.57,-1580.1,-7632.07,1488.4
2107.9033,428.82,-1571.13,-7624.2,1497.51
2107.9073,428.39,-1563.6,-7595.54,1512.0
2107.9113,413.13,-1569.51,-7584.05,1512.24
2107.9153,408.89,-1576.61,-7610.75,1499.08
2107.9193,419.28,-1576.14,-7631.11,1493.31
2107.9233,431.49,-1571.75,-7628.68,1497.84
2107.9273,418.33,-1575.42,-7610.13,1501.37
2107.9313,403.83,-1577.43,-7595.11,1501.7
2107.9353,405.84,-1579.86,-7616.81,1491.59
2107.9393,413.27,-1580.81,-7637.6,1485.25
2107.9433,429.58,-1570.75,-7627.25,1496.84
2107.9473,426.05,-1566.55,-7599.93,1507.95
2107.9513,410.51,-1571.08,-7587.29,1508.38
2107.9553,408.94,-1576.14,-7609.18,1496.12
2107.9593,420.33,-1573.99,-7631.78,1489.78
2107.9633,432.4,-1566.84,-7627.96,1495.89
2107.9673,428.72,-1563.6,-7600.31,1508.19
2107.9713,413.8,-1569.61,-7588.72,1505.9
2107.9753,414.37,-1572.9,-7609.23,1497.46
2107.9793,418.33,-1577.23,-7636.98,1485.63
2107.9833,432.3,-1568.7,-7630.4,1493.07
2107.9871,430.92,-1564.74,-7601.36,1507.04
2107.9911,415.09,-1571.27,-7588.44,1507.57
2107.9951,410.32,-1575.99,-7608.51,1498.17
2107.9991,420.67,-1574.99,-7631.06,1489.59
2108.0031,432.54,-1570.03,-7628.73,1494.98
2108.0071,428.58,-1567.32,-7597.5,1506.61
2108.0111,410.84,-1574.85,-7584.29,1504.09
2108.0151,410.08,-1580.05,-7606.22,1495.41
2108.0191,419.66,-1580.19,-7630.44,1485.4
2108.0231,430.82,-1573.04,-7628.73,1490.07
2108.0271,431.54,-1565.03,-7600.21,1504.56
2108.0311,417.76,-1567.22,-7587.39,1506.95
2108.0351,408.74,-1577.52,-7612.42,1493.88
2108.0391,419.52,-1575.09,-7631.3,1488.3
2108.0431,432.49,-1567.17,-7629.25,1493.93
2108.0471,430.44,-1563.22,-7599.74,1506.57
2108.0511,413.99,-1568.17,-7585.96,1507.81
2108.0551,407.08,-1577.62,-7611.23,1494.74
2108.0591,414.8,-1577.43,-7631.68,1486.97
2108.0631,430.68,-1568.41,-7624.15,1495.08
2108.0671,434.21,-1560.4,-7594.01,1511.48
2108.0711,418.14,-1564.31,-7579.57,1512.43
2108.0751,408.7,-1576.76,-7605.36,1496.03
2108.0791,414.51,-1579.33,-7630.54,1485.82
2108.0831,428.39,-1572.66,-7627.58,1492.64
2108.0871,428.15,-1565.31,-7595.97,1507.76
2108.0911,413.89,-1569.22,-7582.95,1508.14
2108.0951,407.84,-1577.47,-7607.89,1493.98
2108.0991,416.47,-1578.05,-7630.25,1485.49
2108.1031,426.72,-1576.52,-7631.4,1487.4
2108.1071,424.0,-1573.28,-7606.6,1498.17
