TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2106.7077,-911.828,116.571,-412.421,533.75,533.75,-2625.0,545.68,-275.12,288.8
2106.7577,-906.216,117.364,-415.959,1636.25,910.0,-2275.0,536.56,-275.12,276.64
2106.8077,-908.351,118.584,-418.033,848.75,140.0,-2213.75,542.64,-261.44,284.24
2106.8577,-906.826,116.327,-422.913,700.0,-183.75,-2493.75,550.24,-275.12,267.52
2106.9077,-907.07,113.826,-415.837,1286.25,-761.25,-2275.0,550.24,-275.12,269.04
2106.9577,-908.412,116.327,-417.179,1846.25,-682.5,-1960.0,562.4,-279.68,272.08
2107.0077,-909.205,120.658,-416.752,1058.75,-673.75,-1837.5,565.44,-275.12,272.08
2107.0577,-905.179,116.815,-414.434,507.5,-752.5,-2170.0,539.6,-273.6,273.6
2107.1077,-910.059,116.632,-416.813,787.5,-341.25,-1522.5,525.92,-267.52,291.84
2107.1577,-906.887,124.379,-418.094,910.0,-341.25,-1575.0,550.24,-273.6,272.08
2107.2077,-909.083,117.974,-419.863,1723.75,-8.75,-2458.75,541.12,-272.08,287.28
2107.2577,-908.412,117.12,-418.46,1505.0,-1006.25,-1548.75,535.04,-266.0,266.0
2107.3077,-902.251,121.451,-418.094,1408.75,-586.25,-1347.5,539.6,-264.48,262.96
2107.3577,-908.656,123.525,-420.656,516.25,-192.5,-2073.75,544.16,-275.12,270.56
2107.4077,-902.983,121.39,-423.157,682.5,-691.25,-1907.5,541.12,-262.96,262.96
2107.4577,-908.107,119.316,-422.425,1802.5,-455.0,-1697.5,542.64,-270.56,264.48
2107.5077,-907.741,122.305,-421.205,1513.75,-700.0,-1356.25,535.04,-261.44,261.44
2107.5577,-905.484,123.22,-421.937,1688.75,-936.25,-2240.0,533.52,-276.64,273.6
2107.6077,-909.083,125.355,-421.449,1382.5,-1417.5,-2318.75,538.08,-269.04,290.32
2107.6577,-905.667,117.852,-421.022,1461.25,-1863.75,-2318.75,542.64,-276.64,288.8
2107.7077,-907.314,120.719,-416.996,1741.25,-1942.5,-2012.5,548.72,-272.08,287.28
2107.7577,-904.691,122.061,-417.545,1356.25,-1785.0,-2012.5,538.08,-264.48,269.04
2107.8077,-908.717,123.525,-416.447,997.5,-1426.25,-2108.75,533.52,-267.52,281.2
