TimeStamp,ch1,ch2,ch3,ch4
1891.7911,617.89,549.32,-6712.15,2820.64
1891.7951,632.67,554.37,-6727.08,2818.06
1891.7991,636.67,562.0,-6700.42,2831.65
1891.8031,628.14,560.95,-6675.2,2838.75
1891.8071,614.07,551.65,-6685.26,2828.74
1891.8111,620.27,550.89,-6712.58,2818.73
1891.8151,635.77,557.14,-6726.74,2817.39
1891.8191,642.63,566.43,-6701.09,2830.98
1891.8231,634.24,564.86,-6675.15,2839.99
1891.8271,622.32,555.85,-6683.16,2832.75
1891.8311,624.7,552.27,-6713.92,2819.25
1891.8351,629.38,551.03,-6731.84,2810.72
1891.8391,631.57,553.99,-6708.24,2820.4
1891.8431,628.71,559.09,-6677.01,2833.65
1891.8471,613.93,550.32,-6682.97,2827.36
1891.8511,616.93,546.17,-6710.58,2817.54
1891.8551,627.23,547.6,-6728.32,2813.39
1891.8591,631.05,554.04,-6702.66,2825.31
1891.8631,625.09,556.52,-6675.48,2836.04
1891.8671,609.49,548.03,-6686.64,2827.36
1891.8711,613.78,544.26,-6714.39,2814.82
1891.8751,629.33,549.75,-6727.46,2813.77
1891.8791,633.62,556.99,-6701.76,2827.07
1891.8831,626.47,558.9,-6675.82,2836.51
1891.8871,613.12,551.94,-6681.25,2833.03
1891.8911,621.84,553.04,-6707.1,2824.69
1891.8951,630.95,554.51,-6724.55,2818.63
1891.8991,635.53,561.43,-6698.47,2833.51
1891.9031,627.57,562.14,-6673.58,2840.57
1891.9071,615.36,556.71,-6682.3,2833.99
1891.9111,620.79,555.66,-6710.39,2824.83
1891.9151,628.76,556.56,-6726.65,2821.02
1891.9191,631.9,561.29,-6706.91,2829.55
1891.9228,622.84,560.47,-6679.3,2838.52
1891.9268,613.93,557.18,-6679.25,2837.66
1891.9308,623.85,558.33,-6703.0,2830.79
1891.9348,634.24,558.61,-6724.93,2822.78
1891.9388,637.87,563.0,-6702.14,2833.22
1891.9428,629.71,563.38,-6673.0,2843.76
1891.9468,624.23,563.38,-6668.95,2845.19
1891.9508,628.71,558.04,-6697.99,2832.65
1891.9548,633.91,555.42,-6720.88,2822.02
1891.9588,636.91,561.52,-6700.09,2832.6
1891.9628,633.91,562.95,-6673.1,2843.76
1891.9668,617.93,555.32,-6678.34,2837.47
1891.9708,616.65,549.27,-6712.49,2822.35
1891.9748,633.67,554.42,-6729.51,2819.73
1891.9788,640.54,560.95,-6704.9,2831.75
1891.9828,632.05,559.0,-6680.78,2837.47
1891.9868,617.03,550.41,-6685.54,2828.79
1891.9908,621.51,548.17,-6715.87,2818.3
1891.9948,640.11,557.66,-6723.98,2821.83
1891.9988,644.97,564.24,-6700.99,2833.13
1892.0028,634.96,562.33,-6679.39,2839.61
1892.0068,621.22,554.51,-6684.64,2833.65
1892.0108,624.32,552.85,-6714.68,2822.78
1892.0148,641.3,560.71,-6723.69,2823.73
1892.0188,639.06,560.9,-6707.14,2829.12
1892.0228,630.09,562.24,-6683.64,2840.33
1892.0268,619.55,560.0,-6678.25,2842.05
1892.0308,629.04,559.43,-6694.41,2837.37
1892.0348,637.25,557.76,-6712.91,2830.41
1892.0388,642.2,564.15,-6692.17,2839.85
1892.0428,634.1,565.05,-6662.8,2849.53
1892.0468,621.75,561.9,-6657.93,2849.15
1892.0508,626.95,561.14,-6684.4,2842.19
1892.0545,643.54,568.82,-6699.52,2840.57
1892.0585,648.69,573.06,-6680.3,2848.96
1892.0625,644.11,574.97,-6652.02,2859.74
1892.0665,636.29,574.21,-6649.02,2860.45
1892.0705,637.67,568.77,-6679.01,2847.0
1892.0745,646.59,568.1,-6701.76,2839.57
1892.0785,648.88,572.01,-6682.97,2846.53
1892.0825,639.96,572.4,-6654.88,2855.44
1892.0865,630.81,569.06,-6652.64,2855.3
1892.0905,632.95,566.29,-6679.63,2845.81
1892.0945,641.01,566.96,-6701.8,2838.52
1892.0985,647.93,573.25,-6681.35,2850.34
1892.1025,642.44,576.21,-6651.16,2862.12
1892.1065,626.61,567.96,-6650.97,2857.11
1892.1105,632.24,565.86,-6677.15,2846.19
1892.1145,642.44,565.67,-6700.61,2836.61
1892.1185,644.59,571.06,-6684.07,2845.96
1892.1225,635.34,569.77,-6658.98,2855.97
1892.1265,621.32,561.9,-6657.74,2853.3
1892.1305,622.51,559.14,-6683.4,2842.9
1892.1345,628.38,556.04,-6704.71,2832.65
1892.1385,629.95,558.33,-6690.74,2838.52
1892.1425,621.41,556.9,-6664.56,2846.29
1892.1465,611.97,553.56,-6659.84,2846.43
1892.1505,619.46,555.18,-6684.26,2840.71
1892.1545,630.28,557.52,-6703.62,2835.94
1892.1585,635.05,561.09,-6686.78,2842.71
1892.1625,628.52,562.33,-6659.79,2852.87
1892.1665,618.08,558.66,-6655.65,2852.34
1892.1705,622.8,557.38,-6682.83,2842.71
1892.1745,630.33,554.85,-6708.38,2831.89
