TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1891.8577,-909.327,100.101,-419.924,3185.0,3508.75,-1540.0,548.72,-256.88,273.6
1891.9077,-920.795,106.14,-425.536,1986.25,1207.5,-1251.25,551.76,-272.08,262.96
1891.9577,-921.161,107.909,-423.645,245.0,-1487.5,-691.25,547.2,-256.88,259.92
1892.0077,-914.512,109.007,-418.765,-630.0,-5136.25,-1312.5,553.28,-272.08,264.48
1892.0577,-900.726,100.65,-419.253,568.75,-5320.0,-1977.5,553.28,-266.0,264.48
1892.1077,-900.055,102.907,-419.558,1898.75,-2966.25,-1330.0,548.72,-264.48,279.68
1892.1577,-903.044,104.31,-416.935,2537.5,638.75,-2056.25,563.92,-261.44,264.48
1892.2077,-910.12,105.408,-418.948,2292.5,1303.75,-2187.5,544.16,-255.36,267.52
1892.2577,-913.963,105.713,-420.961,2353.75,96.25,-1312.5,548.72,-266.0,259.92
1892.3077,-911.279,107.482,-419.192,1706.25,-953.75,-1076.25,557.84,-266.0,273.6
1892.3577,-909.937,111.02,-417.484,402.5,-1557.5,-831.25,535.04,-255.36,290.32
1892.4077,-911.035,111.813,-418.216,271.25,-1592.5,-2082.5,553.28,-253.84,269.04
1892.4577,-910.059,105.835,-411.994,1470.0,-1120.0,-2651.25,551.76,-252.32,272.08
1892.5077,-904.752,104.249,-413.519,2747.5,533.75,-1828.75,544.16,-264.48,267.52
1892.5577,-911.584,106.933,-418.033,2747.5,1260.0,-2091.25,559.36,-259.92,270.56
1892.6077,-912.011,107.36,-420.9,805.0,393.75,-2222.5,542.64,-253.84,273.6
1892.6577,-905.179,102.48,-424.56,262.5,595.0,-1758.75,551.76,-267.52,269.04
1892.7077,-906.216,103.578,-424.743,1242.5,175.0,-1391.25,542.64,-270.56,266.0
1892.7577,-905.484,109.983,-426.146,1443.75,175.0,-1242.5,541.12,-264.48,275.12
1892.8077,-903.349,108.824,-426.146,2065.0,-280.0,-2152.5,551.76,-266.0,279.68
1892.8577,-909.022,108.519,-425.353,2415.0,-595.0,-2397.5,548.72,-253.84,281.2
1892.9077,-908.717,108.702,-427.183,2441.25,-1487.5,-1968.75,528.96,-273.6,269.04
1892.9577,-906.094,111.264,-423.523,1601.25,-2065.0,-1697.5,554.8,-272.08,275.12
1893.0077,-904.081,108.214,-422.852,1216.25,-1470.0,-1802.5,548.72,-261.44,267.52
1893.0577,-909.144,106.567,-420.534,1400.0,-1303.75,-1855.0,551.76,-258.4,252.32
1893.1077,-906.46,108.336,-423.218,1627.5,-1146.25,-1636.25,541.12,-269.04,273.6
1893.1577,-904.203,110.288,-423.34,1408.75,-866.25,-1610.0,562.4,-253.84,258.4
