TimeStamp,ch1,ch2,ch3,ch4
1788.1226,663.57,2327.87,-6906.13,3399.99
1788.1266,665.81,2333.93,-6881.05,3409.96
1788.1306,657.51,2331.54,-6852.01,3419.59
1788.1346,645.78,2323.15,-6856.06,3415.35
1788.1386,651.41,2323.68,-6881.19,3406.33
1788.1426,659.9,2324.92,-6901.03,3396.18
1788.1466,664.57,2328.83,-6884.29,3402.95
1788.1506,656.84,2329.97,-6857.97,3415.06
1788.1546,650.26,2329.06,-6854.2,3419.26
1788.1586,648.83,2324.25,-6883.43,3406.43
1788.1626,654.41,2324.58,-6902.36,3399.13
1788.1666,663.09,2332.31,-6881.43,3409.05
1788.1706,659.04,2334.64,-6851.44,3421.64
1788.1746,649.36,2330.45,-6848.67,3422.55
1788.1786,655.56,2330.73,-6873.18,3415.78
1788.1826,664.9,2330.88,-6896.93,3406.57
1788.1866,669.77,2338.22,-6877.95,3414.01
1788.1906,665.71,2340.7,-6850.2,3426.27
1788.1946,657.65,2336.65,-6847.33,3427.94
1788.1986,656.22,2327.63,-6880.9,3410.53
1788.2026,658.08,2322.34,-6906.32,3397.13
1788.2066,657.8,2323.44,-6890.39,3401.71
1788.2106,657.03,2328.97,-6858.16,3416.06
1788.2146,650.36,2325.73,-6853.3,3417.92
1788.2186,656.18,2325.25,-6876.56,3410.44
1788.2226,666.05,2325.44,-6897.5,3401.33
1788.2266,664.14,2326.77,-6883.81,3405.19
1788.2306,659.04,2328.54,-6857.25,3416.06
1788.2346,650.93,2324.53,-6853.63,3418.3
1788.2386,652.84,2319.48,-6882.86,3404.76
1788.2426,660.32,2319.43,-6902.31,3398.13
1788.2466,665.57,2325.87,-6885.86,3406.57
1788.2506,657.61,2326.2,-6863.21,3415.39
1788.2543,649.26,2323.58,-6857.78,3418.92
1788.2583,654.84,2323.34,-6879.19,3411.91
1788.2623,662.28,2322.72,-6899.64,3402.66
1788.2663,663.81,2324.2,-6885.86,3405.86
1788.2703,659.28,2327.25,-6858.73,3418.16
1788.2743,653.12,2327.87,-6850.82,3423.98
1788.2783,655.6,2324.39,-6879.38,3411.44
1788.2823,661.37,2321.29,-6904.89,3397.37
1788.2863,666.62,2326.06,-6887.63,3403.71
1788.2903,662.14,2328.83,-6858.16,3416.49
1788.2943,657.03,2330.97,-6845.48,3424.07
1788.2983,660.8,2328.01,-6870.22,3414.06
1788.3023,667.57,2326.58,-6896.54,3402.42
1788.3063,669.96,2330.16,-6883.1,3407.43
1788.3103,662.37,2330.35,-6859.92,3416.82
1788.3143,649.4,2322.24,-6862.12,3415.01
1788.3183,655.84,2322.01,-6885.62,3407.14
1788.3223,669.19,2329.06,-6897.45,3405.86
1788.3263,674.77,2336.22,-6877.85,3415.06
1788.3303,667.29,2334.64,-6853.63,3422.69
1788.3343,652.36,2325.68,-6853.68,3421.93
1788.3383,657.27,2325.11,-6878.95,3412.58
1788.3423,664.95,2326.54,-6900.26,3402.85
1788.3463,665.09,2328.01,-6888.1,3406.19
1788.3503,660.51,2326.92,-6864.12,3415.78
1788.3543,651.07,2322.91,-6859.88,3418.02
1788.3583,653.7,2322.29,-6884.15,3408.34
1788.3623,665.71,2324.92,-6903.32,3402.57
1788.3663,672.67,2331.35,-6887.68,3410.39
1788.3703,665.28,2330.73,-6863.93,3417.83
1788.3743,653.08,2322.63,-6861.54,3415.39
