TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1788.2077,-905.911,104.31,-427.061,1443.75,-1680.0,-2117.5,541.12,-261.44,270.56
1788.2577,-902.556,107.177,-426.573,1303.75,-988.75,-1592.5,544.16,-264.48,279.68
1788.3077,-902.678,105.469,-426.329,1050.0,-463.75,-2161.25,545.68,-252.32,273.6
1788.3577,-915.305,103.883,-423.95,2065.0,-980.0,-2642.5,544.16,-272.08,261.44
1788.4077,-905.24,101.321,-423.279,2327.5,-1487.5,-2231.25,548.72,-262.96,281.2
1788.4577,-897.981,105.957,-423.706,1828.75,201.25,-2065.0,571.52,-262.96,259.92
1788.5077,-908.717,102.541,-431.026,1443.75,673.75,-2712.5,550.24,-259.92,261.44
1788.5578,-905.118,98.698,-429.501,1417.5,192.5,-2205.0,544.16,-264.48,267.52
1788.6077,-903.471,99.735,-433.222,2170.0,385.0,-2205.0,551.76,-267.52,267.52
1788.6577,-903.959,102.297,-435.418,1645.0,-87.5,-2222.5,548.72,-264.48,262.96
1788.7077,-908.595,101.626,-433.588,1102.5,-612.5,-1907.5,550.24,-269.04,267.52
1788.7577,-902.983,106.14,-432.795,595.0,-1251.25,-1933.75,565.44,-255.36,269.04
1788.8077,-902.373,101.992,-432.368,437.5,-1680.0,-2327.5,563.92,-266.0,262.96
1788.8577,-901.824,102.907,-428.83,656.25,-1365.0,-1898.75,556.32,-262.96,278.16
1788.9077,-901.58,109.495,-429.562,411.25,-1443.75,-2021.25,547.2,-276.64,255.36
1788.9577,-905.972,105.347,-427.793,927.5,-1338.75,-2668.75,542.64,-261.44,273.6
1789.0077,-906.582,103.395,-428.525,1146.25,-1916.25,-2380.0,553.28,-264.48,258.4
1789.0577,-906.46,106.323,-428.342,1706.25,-1916.25,-2012.5,545.68,-269.04,267.52
1789.1077,-902.617,104.737,-426.329,1785.0,-1522.5,-2485.0,560.88,-266.0,267.52
1789.1577,-913.109,99.247,-423.035,2318.75,-1120.0,-3316.25,550.24,-264.48,255.36
1789.2077,-907.619,100.528,-420.9,2397.5,-1513.75,-2572.5,547.2,-267.52,255.36
1789.2577,-900.604,102.114,-424.987,1636.25,-455.0,-1855.0,553.28,-262.96,273.6
1789.3077,-905.606,101.321,-427.854,971.25,481.25,-2423.75,548.72,-262.96,266.0
1789.3577,-908.717,98.637,-427.732,1006.25,-122.5,-2388.75,548.72,-270.56,255.36
1789.4077,-904.935,95.099,-429.806,2161.25,-35.0,-2196.25,562.4,-252.32,267.52
1789.4577,-902.251,102.175,-429.928,1881.25,-17.5,-2310.0,547.2,-252.32,276.64
1789.5078,-908.473,103.273,-429.379,945.0,-481.25,-1846.25,556.32,-256.88,285.76
1789.5577,-901.702,103.456,-430.111,1373.75,-568.75,-2283.75,553.28,-253.84,275.12
1789.6077,-905.667,100.894,-429.745,1785.0,-638.75,-2406.25,544.16,-249.28,256.88
1789.6577,-904.935,100.223,-428.83,1618.75,-1023.75,-1933.75,532.0,-258.4,270.56
1789.7077,-904.508,106.14,-427.61,673.75,-988.75,-2021.25,553.28,-253.84,276.64
1789.7577,-903.532,101.138,-430.66,551.25,-271.25,-2922.5,566.96,-255.36,258.4
1789.8077,-905.545,98.881,-428.403,1312.5,-682.5,-2301.25,548.72,-264.48,278.16
1789.8577,-903.471,103.456,-430.294,2135.0,-875.0,-2126.25,541.12,-256.88,264.48
1789.9077,-901.031,104.981,-430.66,1321.25,-805.0,-1925.0,556.32,-258.4,262.96
1789.9577,-903.227,99.918,-432.612,1330.0,-586.25,-2975.0,554.8,-264.48,275.12
1790.0077,-910.486,98.393,-429.745,1793.75,-1653.75,-2528.75,545.68,-249.28,276.64
1790.0577,-902.129,100.284,-425.963,1916.25,-1627.5,-1575.0,551.76,-255.36,275.12
1790.1077,-903.532,105.347,-428.769,918.75,-166.25,-2423.75,560.88,-253.84,267.52
1790.1577,-905.484,99.369,-428.525,883.75,-201.25,-2703.75,559.36,-259.92,272.08
1790.2077,-902.434,96.38,-429.318,2056.25,-70.0,-2161.25,545.68,-264.48,278.16
1790.2577,-904.264,101.687,-433.283,2563.75,-481.25,-2213.75,563.92,-250.8,259.92
1790.3077,-905.057,99.186,-433.222,1461.25,-297.5,-2345.0,547.2,-262.96,287.28
1790.3577,-903.593,99.369,-432.612,1163.75,-980.0,-2152.5,550.24,-258.4,262.96
1790.4077,-902.739,96.746,-432.307,1452.5,-936.25,-1942.5,545.68,-256.88,297.92
1790.4577,-903.837,99.674,-431.88,1741.25,-953.75,-1793.75,554.8,-262.96,270.56
1790.5077,-902.129,101.382,-431.331,1058.75,-752.5,-1916.25,539.6,-249.28,276.64
1790.5577,-899.018,102.968,-431.087,953.75,-402.5,-2371.25,548.72,-262.96,266.0
1790.6077,-904.264,99.43,-431.331,1268.75,-656.25,-2283.75,559.36,-258.4,282.72
1790.6577,-903.288,99.247,-430.416,1968.75,-1181.25,-1995.0,541.12,-259.92,259.92
1790.7077,-903.41,102.358,-433.039,1925.0,-796.25,-1671.25,550.24,-262.96,279.68
1790.7577,-899.628,102.114,-433.588,1120.0,-638.75,-1977.5,556.32,-262.96,270.56
1790.8077,-902.556,99.369,-435.906,1330.0,-297.5,-2651.25,554.8,-262.96,266.0
1790.8577,-912.377,100.223,-430.66,2100.0,-2458.75,-2178.75,557.84,-266.0,279.68
1790.9077,-898.713,103.7,-425.231,1907.5,-1680.0,-1522.5,545.68,-246.24,284.24
1790.9577,-903.471,106.14,-428.403,918.75,-1172.5,-2117.5,568.48,-255.36,272.08
1791.0077,-906.338,98.088,-425.353,542.5,-1041.25,-2616.25,554.8,-270.56,276.64
1791.0577,-899.079,92.842,-427.732,1233.75,-306.25,-2047.5,553.28,-256.88,272.08
1791.1077,-906.521,100.833,-431.331,2082.5,-280.0,-2152.5,547.2,-247.76,273.6
1791.1577,-907.314,102.297,-432.978,1513.75,-332.5,-2275.0,554.8,-252.32,267.52
1791.2077,-903.288,98.271,-431.27,1452.5,-1155.0,-2362.5,547.2,-261.44,273.6
1791.2577,-901.275,97.844,-430.172,1863.75,-568.75,-2161.25,551.76,-259.92,279.68
1791.3077,-904.447,102.419,-431.819,1443.75,-743.75,-1776.25,562.4,-244.72,272.08
1791.3577,-902.739,101.321,-428.83,1015.0,-612.5,-2012.5,556.32,-250.8,266.0
1791.4077,-901.824,100.528,-429.867,1006.25,-280.0,-2380.0,551.76,-261.44,264.48
1791.4577,-905.789,100.711,-435.479,1128.75,-498.75,-2178.75,550.24,-255.36,278.16
1791.5077,-903.715,100.284,-432.368,1295.0,-1050.0,-2240.0,550.24,-249.28,266.0
1791.5577,-904.752,100.955,-431.88,901.25,-1391.25,-2021.25,553.28,-253.84,270.56
1791.6077,-901.214,99.369,-431.575,971.25,-1356.25,-2345.0,556.32,-261.44,276.64
1791.6577,-908.412,98.881,-433.161,1785.0,-1050.0,-2607.5,560.88,-256.88,262.96
1791.7077,-903.105,98.454,-425.536,1478.75,-1601.25,-1933.75,532.0,-259.92,278.16
1791.7577,-897.493,100.955,-424.316,1461.25,-630.0,-1575.0,544.16,-278.16,282.72
1791.8077,-906.643,104.127,-431.575,1216.25,358.75,-2196.25,542.64,-246.24,273.6
1791.8577,-910.12,99.674,-426.817,936.25,-787.5,-2423.75,542.64,-232.56,273.6
1791.9077,-899.384,93.818,-430.172,2546.25,-446.25,-2406.25,544.16,-252.32,267.52
1791.9577,-902.983,100.833,-432.917,2240.0,-341.25,-2231.25,551.76,-250.8,270.56
1792.0077,-899.628,97.051,-435.174,1995.0,78.75,-2108.75,553.28,-255.36,270.56
1792.0577,-902.617,96.075,-433.954,1907.5,-533.75,-2502.5,553.28,-249.28,267.52
1792.1077,-905.423,97.966,-435.235,1942.5,-1181.25,-2056.25,541.12,-249.28,267.52
1792.1577,-902.678,101.382,-431.575,1470.0,-1041.25,-1732.5,565.44,-261.44,270.56
1792.2077,-903.288,102.541,-431.575,700.0,-1102.5,-1925.0,551.76,-255.36,273.6
1792.2577,-904.081,97.722,-431.148,551.25,-936.25,-2415.0,557.84,-264.48,281.2
1792.3077,-906.521,95.892,-431.514,1330.0,-1155.0,-2388.75,560.88,-249.28,282.72
1792.3578,-901.946,101.321,-430.355,2406.25,-866.25,-1802.5,544.16,-259.92,253.84
1792.4077,-897.676,102.541,-432.856,1916.25,-525.0,-2003.75,545.68,-256.88,266.0
1792.4577,-913.048,97.966,-432.49,1680.0,-735.0,-2808.75,562.4,-256.88,272.08
1792.5077,-903.349,97.539,-429.074,1688.75,-2266.25,-1583.75,541.12,-249.28,285.76
1792.5577,-894.931,99.186,-427.061,1907.5,-1382.5,-1452.5,554.8,-250.8,259.92
1792.6077,-903.288,103.09,-429.867,1233.75,183.75,-2196.25,548.72,-250.8,258.4
1792.6577,-907.192,100.162,-431.819,1146.25,-577.5,-2450.0,551.76,-256.88,269.04
1792.7077,-906.094,94.245,-431.636,2371.25,-568.75,-2126.25,548.72,-255.36,270.56
1792.7577,-901.153,99.674,-435.235,2143.75,-647.5,-1986.25,559.36,-259.92,267.52
1792.8077,-905.301,100.223,-434.198,1233.75,-1137.5,-1977.5,559.36,-262.96,275.12
1792.8577,-902.434,97.417,-432.673,953.75,-1365.0,-2388.75,559.36,-253.84,282.72
1792.9077,-906.338,94.367,-430.599,1233.75,-1583.75,-1890.0,551.76,-252.32,273.6
1792.9577,-902.861,100.04,-430.294,1645.0,-1575.0,-1583.75,553.28,-252.32,272.08
1793.0077,-900.36,104.798,-427.671,1067.5,-1058.75,-2117.5,560.88,-255.36,291.84
1793.0577,-902.373,99.674,-429.806,656.25,-883.75,-2240.0,538.08,-255.36,272.08
1793.1077,-905.667,95.77,-428.281,1435.0,-717.5,-2187.5,553.28,-247.76,272.08
1793.1577,-903.166,97.478,-428.891,1968.75,-910.0,-2108.75,541.12,-243.2,269.04
1793.2077,-905.301,100.101,-429.745,1802.5,-656.25,-1872.5,562.4,-256.88,269.04
1793.2577,-898.896,100.772,-435.052,1277.5,-70.0,-2817.5,547.2,-247.76,275.12
1793.3078,-911.096,96.624,-432.856,2030.0,-1286.25,-2808.75,556.32,-252.32,276.64
1793.3577,-903.959,95.038,-427.244,2161.25,-1505.0,-1697.5,551.76,-253.84,270.56
1793.4077,-897.859,100.467,-432.246,1251.25,376.25,-2170.0,539.6,-256.88,269.04
1793.4577,-906.521,100.101,-434.564,831.25,402.5,-2581.25,544.16,-255.36,269.04
1793.5077,-902.495,93.879,-430.355,1400.0,-568.75,-2003.75,545.68,-259.92,264.48
1793.5577,-902.19,95.343,-433.893,2117.5,78.75,-1881.25,544.16,-259.92,266.0
1793.6077,-906.216,99.125,-438.102,1461.25,-507.5,-2152.5,557.84,-246.24,272.08
1793.6577,-903.349,96.624,-433.283,1443.75,-1155.0,-2021.25,553.28,-269.04,278.16
1793.7077,-902.251,96.502,-433.527,1723.75,-1050.0,-2047.5,548.72,-266.0,266.0
1793.7577,-904.874,97.661,-435.113,1645.0,-1356.25,-1793.75,547.2,-259.92,285.76
1793.8077,-899.75,99.064,-431.331,1347.5,-1102.5,-1802.5,550.24,-255.36,259.92
1793.8577,-901.824,99.552,-430.843,988.75,-953.75,-2187.5,544.16,-250.8,270.56
1793.9077,-904.874,97.966,-433.466,1198.75,-971.25,-2161.25,548.72,-253.84,261.44
1793.9577,-904.508,97.234,-430.66,1916.25,-1085.0,-1942.5,533.52,-252.32,275.12
1794.0077,-903.105,98.332,-431.88,1846.25,-962.5,-1802.5,544.16,-252.32,266.0
1794.0577,-902.983,103.334,-429.928,1697.5,-323.75,-1968.75,544.16,-255.36,267.52
1794.1077,-899.201,99.064,-437.614,1198.75,-332.5,-1986.25,548.72,-252.32,261.44
1794.1577,-910.364,96.075,-436.089,1697.5,-743.75,-2502.5,545.68,-255.36,258.4
1794.2077,-901.702,97.356,-429.562,1758.75,-1408.75,-1837.5,554.8,-256.88,275.12
1794.2578,-896.883,101.443,-429.013,1347.5,-656.25,-1785.0,542.64,-258.4,269.04
1794.3077,-904.996,100.223,-430.965,770.0,490.0,-2598.75,548.72,-266.0,269.04
1794.3577,-903.898,96.319,-434.015,997.5,-26.25,-2563.75,562.4,-252.32,278.16
1794.4077,-902.312,96.014,-435.54,2283.75,306.25,-2143.75,541.12,-258.4,256.88
1794.4577,-903.044,101.26,-439.871,1505.0,-288.75,-2450.0,541.12,-258.4,270.56
1794.5077,-902.922,99.247,-438.834,927.5,-1023.75,-2301.25,545.68,-262.96,269.04
1794.5577,-898.347,95.282,-437.431,1216.25,-1330.0,-2152.5,544.16,-256.88,267.52
1794.6077,-901.397,98.332,-435.723,1382.5,-1706.25,-1863.75,554.8,-253.84,267.52
1794.6577,-899.628,101.321,-434.442,1128.75,-1575.0,-1855.0,562.4,-262.96,267.52
1794.7077,-901.824,103.517,-435.174,840.0,-1233.75,-1951.25,554.8,-256.88,253.84
1794.7577,-899.079,97.539,-432.673,1015.0,-805.0,-2187.5,538.08,-256.88,258.4
1794.8077,-903.898,98.332,-432.185,1478.75,-875.0,-2126.25,539.6,-253.84,269.04
1794.8577,-901.946,100.162,-433.222,1627.5,-1137.5,-1671.25,548.72,-253.84,253.84
1794.9077,-900.482,100.833,-434.137,945.0,-717.5,-2065.0,547.2,-255.36,259.92
1794.9577,-901.275,99.552,-435.296,1128.75,-752.5,-2397.5,550.24,-262.96,273.6
1795.0077,-909.937,101.626,-433.527,1811.25,-1925.0,-2178.75,548.72,-269.04,269.04
1795.0577,-899.323,101.321,-427.427,1330.0,-2030.0,-1697.5,548.72,-255.36,270.56
1795.1077,-897.615,101.382,-428.891,1120.0,-297.5,-2327.5,542.64,-264.48,255.36
1795.1577,-905.85,101.077,-432.795,1583.75,8.75,-2625.0,554.8,-269.04,282.72
1795.2077,-897.676,98.881,-434.198,1846.25,-1023.75,-1995.0,547.2,-262.96,272.08
1795.2577,-900.909,102.724,-436.821,2065.0,-673.75,-2161.25,539.6,-269.04,259.92
1795.3077,-902.678,99.491,-435.418,1426.25,-533.75,-2257.5,547.2,-259.92,258.4
1795.3577,-902.739,97.112,-436.089,1583.75,-1268.75,-1951.25,557.84,-266.0,262.96
1795.4077,-902.495,97.539,-437.126,1881.25,-1295.0,-2187.5,541.12,-262.96,270.56
1795.4577,-907.375,100.955,-435.052,1688.75,-1732.5,-2056.25,550.24,-256.88,269.04
1795.5077,-904.508,101.87,-429.806,1312.5,-1793.75,-1872.5,548.72,-264.48,262.96
1795.5577,-903.898,101.077,-426.817,901.25,-1093.75,-2170.0,548.72,-258.4,259.92
1795.6077,-903.166,98.332,-430.416,918.75,-682.5,-2336.25,551.76,-255.36,262.96
1795.6577,-907.314,97.112,-429.562,1636.25,-1006.25,-2021.25,545.68,-256.88,276.64
1795.7077,-901.214,98.942,-429.562,1846.25,-490.0,-2038.75,548.72,-272.08,272.08
1795.7577,-901.58,101.748,-429.135,1190.0,-236.25,-1802.5,535.04,-272.08,256.88
1795.8077,-905.118,96.807,-435.723,1382.5,-175.0,-2835.0,550.24,-269.04,261.44
1795.8577,-909.083,97.6,-434.198,1933.75,-1198.75,-2633.75,557.84,-266.0,258.4
1795.9077,-898.591,98.271,-429.013,2222.5,-866.25,-1636.25,550.24,-266.0,267.52
1795.9577,-899.994,103.273,-431.514,1435.0,-253.75,-2030.0,542.64,-256.88,261.44
1796.0077,-907.741,96.563,-433.954,980.0,-323.75,-2546.25,548.72,-258.4,258.4
1796.0577,-897.737,94.794,-433.649,1723.75,-446.25,-2021.25,553.28,-259.92,270.56
1796.1077,-902.739,100.65,-436.76,2406.25,-997.5,-2161.25,548.72,-258.4,270.56
1796.1577,-904.996,97.173,-434.625,1548.75,-1242.5,-2423.75,536.56,-266.0,272.08
1796.2077,-903.898,93.94,-432.368,1155.0,-1548.75,-2318.75,532.0,-269.04,275.12
1796.2577,-903.227,99.003,-430.416,1697.5,-831.25,-2100.0,560.88,-261.44,262.96
1796.3077,-901.702,97.356,-431.27,1671.25,-560.0,-1960.0,532.0,-264.48,259.92
1796.3577,-904.874,100.345,-432.49,971.25,-901.25,-2143.75,556.32,-269.04,266.0
1796.4077,-899.811,96.807,-429.684,1015.0,-560.0,-2240.0,547.2,-252.32,266.0
1796.4577,-904.142,96.258,-432.795,1496.25,-411.25,-1837.5,542.64,-253.84,264.48
1796.5077,-904.447,98.027,-435.357,1767.5,-603.75,-2458.75,547.2,-264.48,266.0
1796.5577,-903.959,96.258,-432.734,1557.5,-813.75,-2450.0,548.72,-266.0,256.88
1796.6077,-903.227,97.539,-435.906,1566.25,-455.0,-1662.5,551.76,-266.0,261.44
1796.6577,-900.97,99.857,-437.492,700.0,-866.25,-2065.0,536.56,-259.92,266.0
1796.7077,-909.876,93.574,-433.039,1452.5,-901.25,-2913.75,556.32,-255.36,272.08
1796.7577,-903.41,93.391,-432.49,1837.5,-1977.5,-2003.75,541.12,-255.36,252.32
1796.8077,-897.737,103.822,-430.66,1583.75,-918.75,-2065.0,551.76,-261.44,262.96
1796.8577,-907.192,96.563,-435.479,953.75,-183.75,-3062.5,539.6,-252.32,264.48
1796.9077,-906.826,91.805,-431.148,1461.25,-665.0,-2240.0,554.8,-255.36,259.92
1796.9577,-898.591,97.051,-437.004,2275.0,-192.5,-1925.0,547.2,-255.36,266.0
1797.0077,-906.216,99.491,-439.993,1540.0,-551.25,-2546.25,551.76,-258.4,272.08
1797.0577,-903.959,93.574,-433.527,1111.25,-1662.5,-1951.25,553.28,-256.88,262.96
1797.1077,-900.055,95.587,-432.673,1268.75,-1653.75,-1688.75,536.56,-249.28,275.12
1797.1577,-906.826,95.16,-432.246,980.0,-1181.25,-1960.0,548.72,-262.96,276.64
1797.2077,-906.704,95.709,-431.636,883.75,-1268.75,-1750.0,547.2,-250.8,262.96
1797.2577,-900.482,97.844,-429.318,857.5,-1023.75,-2117.5,533.52,-255.36,266.0
1797.3077,-902.434,97.234,-429.989,1225.0,-533.75,-2292.5,524.4,-258.4,259.92
1797.3577,-906.582,96.868,-432.612,1697.5,-822.5,-2152.5,547.2,-267.52,250.8
1797.4077,-902.739,98.637,-431.026,1548.75,-997.5,-2345.0,550.24,-262.96,256.88
1797.4577,-903.898,97.783,-430.111,1373.75,-673.75,-2651.25,539.6,-270.56,262.96
1797.5077,-902.19,94.672,-430.843,1548.75,-367.5,-1732.5,544.16,-256.88,270.56
1797.5577,-901.275,99.979,-433.039,1128.75,-306.25,-2021.25,524.4,-255.36,256.88
1797.6077,-904.386,95.953,-436.76,1181.25,-262.5,-2878.75,553.28,-253.84,255.36
1797.6577,-907.436,95.038,-430.111,1601.25,-2038.75,-2038.75,545.68,-259.92,272.08
1797.7077,-900.604,98.088,-427.305,1811.25,-1435.0,-1863.75,551.76,-256.88,259.92
1797.7577,-900.177,97.661,-432.063,901.25,-61.25,-2388.75,553.28,-250.8,266.0
1797.8077,-906.765,95.099,-433.222,980.0,411.25,-2590.0,556.32,-267.52,270.56
1797.8577,-897.432,91.927,-435.906,1758.75,350.0,-1933.75,548.72,-266.0,267.52
1797.9077,-901.885,95.099,-436.821,2091.25,-183.75,-2327.5,545.68,-270.56,272.08
1797.9577,-903.837,97.6,-438.224,1347.5,-1172.5,-1942.5,533.52,-276.64,264.48
1798.0077,-899.262,97.295,-434.259,778.75,-1636.25,-2038.75,545.68,-259.92,247.76
1798.0577,-902.312,97.661,-433.222,901.25,-1163.75,-2266.25,548.72,-250.8,270.56
