TimeStamp,ch1,ch2,ch3,ch4
1943.9561,585.13,-142.34,-7082.61,2587.75
1943.9601,586.56,-135.95,-7054.14,2600.81
1943.9641,575.4,-137.42,-7033.35,2605.68
1943.9681,564.86,-147.82,-7054.81,2591.71
1943.9721,569.06,-150.3,-7085.28,2579.16
1943.9761,585.37,-144.05,-7087.28,2583.79
1943.9801,592.18,-133.94,-7047.61,2603.01
1943.9841,581.26,-133.71,-7022.14,2610.97
1943.9881,572.82,-142.38,-7041.69,2600.48
1943.9921,579.21,-145.72,-7072.16,2587.7
1943.9961,585.51,-143.77,-7086.09,2585.27
1944.0001,582.17,-140.62,-7061.05,2594.61
1944.0041,571.49,-143.86,-7039.17,2599.05
1944.0081,567.48,-147.82,-7051.09,2594.28
1944.0121,573.59,-149.77,-7078.89,2585.22
1944.0161,588.27,-142.29,-7087.04,2585.79
1944.0201,589.04,-137.33,-7055.52,2599.91
1944.0241,575.02,-141.0,-7034.02,2603.34
1944.0281,569.63,-146.1,-7043.79,2598.91
1944.0321,578.69,-146.96,-7069.78,2590.8
1944.0361,589.56,-143.62,-7081.46,2588.32
1944.0401,592.18,-135.33,-7051.75,2602.29
1944.0441,582.6,-137.33,-7033.83,2608.59
1944.0481,571.39,-145.01,-7046.8,2600.48
1944.0521,578.07,-143.38,-7070.64,2593.9
1944.0561,591.42,-136.57,-7078.27,2597.28
1944.0601,589.51,-135.76,-7055.71,2604.06
1944.0641,580.64,-132.99,-7027.01,2615.21
1944.0681,575.49,-134.99,-7034.78,2612.16
1944.0721,581.31,-140.24,-7064.87,2597.62
1944.0761,590.61,-139.33,-7077.6,2593.04
1944.0801,596.81,-128.6,-7043.17,2611.73
1944.0841,583.7,-129.7,-7021.28,2618.31
1944.0879,571.78,-139.14,-7039.02,2606.11
1944.0919,585.7,-134.23,-7061.67,2601.91
1944.0959,595.28,-134.18,-7076.22,2595.14
1944.0999,600.86,-124.45,-7043.41,2609.54
1944.1039,594.09,-119.83,-7016.9,2622.27
1944.1079,585.7,-126.41,-7028.25,2615.93
1944.1119,595.38,-125.6,-7053.85,2609.21
1944.1159,605.39,-122.4,-7063.77,2608.59
1944.1199,603.49,-119.07,-7037.5,2618.12
