TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1989.7577,-929.213,110.959,-370.636,1443.75,-393.75,-1776.25,557.84,-270.56,246.24
1989.8077,-933.056,110.837,-368.684,1391.25,-455.0,-2668.75,562.4,-281.2,232.56
1989.8577,-935.984,105.164,-365.512,1531.25,-1671.25,-2283.75,553.28,-285.76,246.24
1989.9077,-922.686,106.262,-364.414,2082.5,-393.75,-2021.25,566.96,-275.12,253.84
1989.9577,-935.557,113.216,-367.647,927.5,385.0,-2686.25,566.96,-273.6,241.68
1990.0077,-932.324,106.445,-371.978,1023.75,8.75,-2686.25,557.84,-261.44,237.12
1990.0577,-924.943,103.639,-374.235,2581.25,166.25,-1767.5,553.28,-262.96,235.6
1990.1077,-931.287,112.179,-377.407,1741.25,-218.75,-2695.0,562.4,-269.04,241.68
1990.1577,-935.923,107.848,-372.771,840.0,-647.5,-2537.5,560.88,-269.04,241.68
1990.2077,-925.675,104.432,-368.684,1330.0,-735.0,-2485.0,570.0,-278.16,250.8
1990.2577,-929.701,106.75,-372.588,1846.25,-262.5,-2283.75,553.28,-278.16,253.84
1990.3077,-927.688,108.458,-374.845,1330.0,70.0,-2012.5,573.04,-270.56,249.28
1990.3577,-931.531,108.519,-376.614,892.5,280.0,-1933.75,551.76,-270.56,243.2
1990.4077,-927.322,108.214,-375.638,848.75,-113.75,-2170.0,541.12,-264.48,241.68
1990.4577,-927.505,105.774,-373.686,1382.5,-70.0,-2222.5,566.96,-276.64,252.32
1990.5077,-930.311,109.19,-379.359,1540.0,-656.25,-2082.5,559.36,-264.48,247.76
1990.5577,-921.222,109.068,-380.396,1321.25,-402.5,-2030.0,562.4,-275.12,244.72
1990.6077,-927.871,108.763,-381.738,1435.0,-218.75,-2826.25,550.24,-272.08,235.6
1990.6577,-933.971,104.066,-377.712,1942.5,-2196.25,-2625.0,570.0,-264.48,256.88
1990.7077,-928.115,102.053,-373.686,1986.25,-2196.25,-1557.5,556.32,-276.64,250.8
1990.7577,-928.786,112.423,-373.32,1006.25,-700.0,-1767.5,560.88,-270.56,243.2
1990.8077,-934.398,108.702,-376.126,376.25,-787.5,-2677.5,562.4,-275.12,237.12
1990.8577,-923.113,102.175,-374.784,1085.0,-437.5,-1960.0,570.0,-285.76,244.72
1990.9077,-932.873,110.41,-376.858,2152.5,-630.0,-1881.25,550.24,-270.56,247.76
1990.9577,-926.224,109.007,-377.651,1820.0,-927.5,-2187.5,565.44,-272.08,247.76
1991.0077,-930.982,106.262,-377.224,1618.75,-1435.0,-2458.75,574.56,-273.6,243.2
1991.0577,-929.579,105.591,-375.638,1513.75,-1295.0,-2091.25,560.88,-273.6,238.64
1991.1077,-932.324,106.506,-376.736,901.25,-1452.5,-2003.75,565.44,-272.08,241.68
1991.1578,-929.091,105.713,-372.893,656.25,-1671.25,-1680.0,542.64,-279.68,244.72
1991.2077,-926.59,108.153,-371.124,1155.0,-630.0,-2056.25,566.96,-279.68,237.12
1991.2577,-932.08,106.445,-374.174,1233.75,-778.75,-2038.75,560.88,-278.16,237.12
1991.3077,-928.359,106.079,-374.296,1618.75,-1102.5,-1872.5,551.76,-269.04,250.8
1991.3577,-927.688,109.983,-372.466,761.25,-1207.5,-1846.25,565.44,-284.24,247.76
1991.4077,-928.969,110.471,-373.381,761.25,-901.25,-2528.75,574.56,-266.0,241.68
1991.4577,-935.191,106.201,-369.416,1601.25,-1461.25,-2520.0,562.4,-275.12,240.16
1991.5077,-928.969,102.785,-367.708,2450.0,-1146.25,-1522.5,544.16,-278.16,244.72
1991.5577,-928.298,115.351,-372.405,1863.75,-428.75,-1907.5,562.4,-270.56,262.96
1991.6077,-930.555,109.983,-373.442,1050.0,-245.0,-2476.25,557.84,-264.48,240.16
1991.6577,-929.64,102.724,-374.052,1443.75,-113.75,-2126.25,550.24,-270.56,235.6
1991.7077,-932.263,109.922,-376.736,1715.0,-813.75,-1942.5,557.84,-285.76,237.12
1991.7577,-929.274,109.068,-377.529,1260.0,-726.25,-2126.25,568.48,-278.16,238.64
1991.8077,-930.128,104.371,-376.309,945.0,-761.25,-2537.5,556.32,-275.12,226.48
1991.8577,-931.531,105.652,-374.601,1548.75,-787.5,-2511.25,560.88,-270.56,241.68
1991.9077,-932.019,106.933,-374.601,1916.25,-1137.5,-1898.75,560.88,-272.08,234.08
1991.9577,-928.237,111.203,-372.405,1723.75,-673.75,-1837.5,551.76,-266.0,243.2
1992.0077,-931.836,111.569,-372.466,1102.5,-411.25,-2406.25,553.28,-276.64,244.72
1992.0577,-927.566,107.299,-373.259,1338.75,-262.5,-2695.0,562.4,-275.12,259.92
1992.1077,-930.86,106.079,-374.113,2021.25,-393.75,-2231.25,565.44,-276.64,252.32
1992.1577,-929.213,108.153,-375.699,1802.5,-201.25,-1680.0,551.76,-270.56,244.72
1992.2077,-927.322,112.911,-378.993,1286.25,52.5,-2073.75,560.88,-269.04,243.2
1992.2577,-931.836,105.53,-375.821,1557.5,-455.0,-3430.0,560.88,-269.04,241.68
1992.3077,-929.945,100.528,-374.418,1671.25,-945.0,-2345.0,563.92,-278.16,243.2
1992.3577,-925.797,109.312,-376.492,1758.75,-8.75,-1417.5,565.44,-276.64,237.12
1992.4077,-929.884,112.057,-378.505,805.0,-122.5,-2537.5,560.88,-273.6,238.64
1992.4577,-927.566,100.894,-381.372,1032.5,157.5,-2476.25,573.04,-264.48,246.24
1992.5077,-929.884,104.31,-382.287,2143.75,-393.75,-1837.5,556.32,-281.2,241.68
1992.5577,-928.542,111.813,-384.666,1531.25,-603.75,-2038.75,560.88,-275.12,250.8
1992.6077,-928.115,103.456,-379.481,778.75,-1067.5,-2520.0,563.92,-267.52,255.36
1992.6577,-928.115,103.761,-381.616,1128.75,-988.75,-2388.75,566.96,-275.12,243.2
1992.7077,-927.505,106.079,-380.823,1260.0,-1417.5,-1750.0,550.24,-278.16,244.72
1992.7577,-924.577,106.079,-375.638,1058.75,-1242.5,-1925.0,554.8,-282.72,232.56
