Time,Msg
empty, empty
empty, empty
03.35.24.927644,SQNQGC
03.35.27.697816,WY7QH1
03.35.30.174089,0HUVQI
03.35.31.796237,VAJO13
03.35.32.210367,709D33
03.35.33.764639,COSRHI
03.35.35.305834,FBVFC8
03.35.37.532042,O3XFBL
03.35.37.788306,76H54A
03.35.38.671430,RNXLIY
03.35.40.482694,299K40
03.35.43.158916,ZTJMBI
03.35.46.089146,HJNYPO
03.35.47.052217,CU777M
03.35.48.935303,KIBYWH
03.35.49.742496,TN268C
03.35.52.478755,HDTJ39
03.35.53.462026,WQRMGZ
03.35.53.692396,CJTQZD
03.35.53.750151,3JVIN1
03.35.55.776354,DY11GX
03.35.55.936649,KCEF1T
03.35.56.530891,V030HK
03.35.58.329154,5DFWS9
03.36.01.205398,B6J44U
03.36.01.573626,K921HF
03.36.03.188884,5L87LY
03.36.04.093412,2IGMD3
03.36.04.235641,ACIC28
03.36.07.181789,DH7KWA
03.36.08.717930,29JBXL
03.36.09.948147,4Y1GU9
03.36.10.920399,KP9WAK
03.36.10.998667,7EEGYM
03.36.11.735214,H9HQNS
03.36.14.324468,BZNM10
03.36.16.242579,NXL20Y
03.36.17.803814,N9A1D8
03.36.20.315010,I27KPB
03.36.22.015405,YOAXKE
03.36.22.591660,19UT98
03.36.23.040924,EUDJ1J
03.36.23.386150,SSH6PM
03.36.24.994252,4UBLG4
03.36.26.821809,LQY7RC
03.36.29.546307,B27K69
03.36.30.164862,FBC5Q3
03.36.31.777116,YZ0F25
