,msg_send_time,msg_send,msg_received_time,msg_received,time_difference
0,2023-03-09 15:35:21.917172,4M2919,empty, empty,error
1,2023-03-09 15:35:22.004388,NAJCOD,empty, empty,error
2,2023-03-09 15:35:24.926600,SQNQGC,03.35.24.927644,SQNQGC,1044
3,2023-03-09 15:35:27.697816,WY7QH1,03.35.27.697816,WY7QH1,0
4,2023-03-09 15:35:30.174089,0HUVQI,03.35.30.174089,0HUVQI,0
5,2023-03-09 15:35:31.796237,VAJO13,03.35.31.796237,VAJO13,0
6,2023-03-09 15:35:32.210367,709D33,03.35.32.210367,709D33,0
7,2023-03-09 15:35:33.764639,COSRHI,03.35.33.764639,COSRHI,0
8,2023-03-09 15:35:35.305834,FBVFC8,03.35.35.305834,FBVFC8,0
9,2023-03-09 15:35:37.532042,O3XFBL,03.35.37.532042,O3XFBL,0
10,2023-03-09 15:35:37.788306,76H54A,03.35.37.788306,76H54A,0
11,2023-03-09 15:35:38.671430,RNXLIY,03.35.38.671430,RNXLIY,0
12,2023-03-09 15:35:40.482694,299K40,03.35.40.482694,299K40,0
13,2023-03-09 15:35:43.158916,ZTJMBI,03.35.43.158916,ZTJMBI,0
14,2023-03-09 15:35:46.089146,HJNYPO,03.35.46.089146,HJNYPO,0
15,2023-03-09 15:35:47.052217,CU777M,03.35.47.052217,CU777M,0
16,2023-03-09 15:35:48.935303,KIBYWH,03.35.48.935303,KIBYWH,0
17,2023-03-09 15:35:49.742496,TN268C,03.35.49.742496,TN268C,0
18,2023-03-09 15:35:52.478755,HDTJ39,03.35.52.478755,HDTJ39,0
19,2023-03-09 15:35:53.462026,WQRMGZ,03.35.53.462026,WQRMGZ,0
20,2023-03-09 15:35:53.692396,CJTQZD,03.35.53.692396,CJTQZD,0
21,2023-03-09 15:35:53.750151,3JVIN1,03.35.53.750151,3JVIN1,0
22,2023-03-09 15:35:55.776354,DY11GX,03.35.55.776354,DY11GX,0
23,2023-03-09 15:35:55.936649,KCEF1T,03.35.55.936649,KCEF1T,0
24,2023-03-09 15:35:56.530891,V030HK,03.35.56.530891,V030HK,0
25,2023-03-09 15:35:58.329154,5DFWS9,03.35.58.329154,5DFWS9,0
26,2023-03-09 15:36:01.205398,B6J44U,03.36.01.205398,B6J44U,0
27,2023-03-09 15:36:01.573626,K921HF,03.36.01.573626,K921HF,0
28,2023-03-09 15:36:03.188884,5L87LY,03.36.03.188884,5L87LY,0
29,2023-03-09 15:36:04.093412,2IGMD3,03.36.04.093412,2IGMD3,0
30,2023-03-09 15:36:04.235641,ACIC28,03.36.04.235641,ACIC28,0
31,2023-03-09 15:36:07.181789,DH7KWA,03.36.07.181789,DH7KWA,0
32,2023-03-09 15:36:08.717930,29JBXL,03.36.08.717930,29JBXL,0
33,2023-03-09 15:36:09.948147,4Y1GU9,03.36.09.948147,4Y1GU9,0
34,2023-03-09 15:36:10.920399,KP9WAK,03.36.10.920399,KP9WAK,0
35,2023-03-09 15:36:10.998667,7EEGYM,03.36.10.998667,7EEGYM,0
36,2023-03-09 15:36:11.735214,H9HQNS,03.36.11.735214,H9HQNS,0
37,2023-03-09 15:36:14.324468,BZNM10,03.36.14.324468,BZNM10,0
38,2023-03-09 15:36:16.242579,NXL20Y,03.36.16.242579,NXL20Y,0
39,2023-03-09 15:36:17.803814,N9A1D8,03.36.17.803814,N9A1D8,0
40,2023-03-09 15:36:20.315010,I27KPB,03.36.20.315010,I27KPB,0
41,2023-03-09 15:36:22.015405,YOAXKE,03.36.22.015405,YOAXKE,0
42,2023-03-09 15:36:22.591660,19UT98,03.36.22.591660,19UT98,0
43,2023-03-09 15:36:23.040924,EUDJ1J,03.36.23.040924,EUDJ1J,0
44,2023-03-09 15:36:23.386150,SSH6PM,03.36.23.386150,SSH6PM,0
45,2023-03-09 15:36:24.994252,4UBLG4,03.36.24.994252,4UBLG4,0
46,2023-03-09 15:36:26.821809,LQY7RC,03.36.26.821809,LQY7RC,0
47,2023-03-09 15:36:29.546307,B27K69,03.36.29.546307,B27K69,0
48,2023-03-09 15:36:30.164862,FBC5Q3,03.36.30.164862,FBC5Q3,0
49,2023-03-09 15:36:31.777116,YZ0F25,03.36.31.777116,YZ0F25,0
