,msg_send_time,msg_send,msg_received_time,msg_received,time_difference
0,2023-03-09 16:16:02.072353,DISII3,04.16.02.073350,DISII3,997
1,2023-03-09 16:16:02.083323,08N18F,04.16.02.083323,08N18F,0
2,2023-03-09 16:16:02.083323,YNUQVV,04.16.02.083323,YNUQVV,0
3,2023-03-09 16:16:02.084320,PCNJXQ,04.16.02.084320,PCNJXQ,0
4,2023-03-09 16:16:02.084320,JFIDNJ,04.16.02.085317,JFIDNJ,997
5,2023-03-09 16:16:02.085317,PUPPKU,04.16.02.085317,PUPPKU,0
6,2023-03-09 16:16:02.089306,K31TFK,04.16.02.089306,K31TFK,0
7,2023-03-09 16:16:02.090304,81FFWO,04.16.02.090304,81FFWO,0
8,2023-03-09 16:16:02.090304,P9X1TY,04.16.02.090304,P9X1TY,0
9,2023-03-09 16:16:02.090304,WBX78T,04.16.02.091300,WBX78T,996
10,2023-03-09 16:16:02.091300,00WJT5,04.16.02.091300,00WJT5,0
11,2023-03-09 16:16:02.091300,QZ70LQ,04.16.02.091300,QZ70LQ,0
12,2023-03-09 16:16:02.092299,LCQK8S,04.16.02.092299,LCQK8S,0
13,2023-03-09 16:16:02.092299,AKQ0VK,04.16.02.092299,AKQ0VK,0
14,2023-03-09 16:16:02.093296,TW9WDK,04.16.02.093296,TW9WDK,0
15,2023-03-09 16:16:02.093296,ITUW5X,04.16.02.093296,ITUW5X,0
16,2023-03-09 16:16:02.093296,17DQRY,04.16.02.093296,17DQRY,0
17,2023-03-09 16:16:02.094293,VD94HX,04.16.02.094293,VD94HX,0
18,2023-03-09 16:16:02.094293,IBN6ZV,04.16.02.094293,IBN6ZV,0
19,2023-03-09 16:16:02.094293,NIF7C2,04.16.02.094293,NIF7C2,0
20,2023-03-09 16:16:02.095291,1Z6ZA4,04.16.02.095291,1Z6ZA4,0
21,2023-03-09 16:16:02.095291,560CUH,04.16.02.095291,560CUH,0
22,2023-03-09 16:16:02.095291,CTHJRR,04.16.02.096288,CTHJRR,997
23,2023-03-09 16:16:02.096288,QYICUC,04.16.02.096288,QYICUC,0
24,2023-03-09 16:16:02.096288,93YJD7,04.16.02.096288,93YJD7,0
25,2023-03-09 16:16:02.097285,S0YGFV,04.16.02.097285,S0YGFV,0
26,2023-03-09 16:16:02.097285,E0E9VS,04.16.02.097285,E0E9VS,0
27,2023-03-09 16:16:02.098283,O3QN4E,04.16.02.098283,O3QN4E,0
28,2023-03-09 16:16:02.098283,R2BMB9,04.16.02.098283,R2BMB9,0
29,2023-03-09 16:16:02.098283,F4AQW4,04.16.02.098283,F4AQW4,0
30,2023-03-09 16:16:02.099280,U4UN9Z,04.16.02.099280,U4UN9Z,0
31,2023-03-09 16:16:02.099280,3WXUX3,04.16.02.099280,3WXUX3,0
32,2023-03-09 16:16:02.099280,FDF3NT,04.16.02.100277,FDF3NT,997
33,2023-03-09 16:16:02.100277,OEX6WJ,04.16.02.100277,OEX6WJ,0
34,2023-03-09 16:16:02.100277,15U6KQ,04.16.02.100277,15U6KQ,0
35,2023-03-09 16:16:02.101275,QSVQP1,04.16.02.101275,QSVQP1,0
36,2023-03-09 16:16:02.104266,N5DTC9,04.16.02.104266,N5DTC9,0
37,2023-03-09 16:16:02.105264,5EN9EA,04.16.02.105264,5EN9EA,0
38,2023-03-09 16:16:02.105264,Y6O3KS,04.16.02.105264,Y6O3KS,0
39,2023-03-09 16:16:02.106261,NKZBFJ,04.16.02.106261,NKZBFJ,0
40,2023-03-09 16:16:02.106261,YTG829,04.16.02.106261,YTG829,0
41,2023-03-09 16:16:02.107259,M8JWX9,04.16.02.107259,M8JWX9,0
42,2023-03-09 16:16:02.107259,XO0OZD,04.16.02.107259,XO0OZD,0
43,2023-03-09 16:16:02.108256,V209TX,04.16.02.108256,V209TX,0
44,2023-03-09 16:16:02.108256,5RGOLB,04.16.02.108256,5RGOLB,0
45,2023-03-09 16:16:02.108256,DKX17V,04.16.02.108256,DKX17V,0
46,2023-03-09 16:16:02.109254,EX2MUI,04.16.02.109254,EX2MUI,0
47,2023-03-09 16:16:02.109254,MZOTV4,04.16.02.109254,MZOTV4,0
48,2023-03-09 16:16:02.110251,B6WMKF,04.16.02.110251,B6WMKF,0
49,2023-03-09 16:16:02.110251,BF9KK4,04.16.02.110251,BF9KK4,0
