TimeStamp,ch1,ch2,ch3,ch4
5865.2043,-6900.36,-13089.13,-9776.31,-3980.49
5865.2083,-6902.74,-13089.71,-9781.08,-3982.16
5865.2123,-6909.94,-13091.04,-9787.94,-3985.45
5865.2163,-6908.32,-13088.8,-9784.7,-3982.88
5865.2203,-6903.03,-13089.61,-9777.98,-3982.35
5865.2243,-6903.27,-13094.14,-9779.98,-3985.93
5865.2283,-6906.8,-13094.09,-9783.79,-3988.41
5865.2323,-6910.61,-13093.0,-9788.18,-3989.41
5865.2363,-6908.47,-13091.61,-9788.47,-3988.89
5865.2403,-6904.89,-13094.28,-9785.41,-3989.7
5865.2443,-6908.99,-13096.43,-9782.94,-3989.41
5865.2483,-6914.85,-13096.91,-9783.27,-3986.45
5865.2523,-6920.05,-13094.52,-9786.42,-3984.31
5865.2563,-6918.72,-13094.47,-9784.51,-3981.73
5865.2603,-6913.09,-13093.76,-9774.02,-3976.77
5865.2643,-6912.28,-13097.48,-9774.3,-3979.16
5865.2683,-6916.14,-13100.67,-9783.17,-3985.31
5865.2723,-6916.95,-13100.01,-9789.85,-3990.51
5865.2763,-6908.08,-13097.29,-9786.18,-3989.27
5865.2803,-6899.98,-13096.0,-9782.41,-3987.6
5865.2843,-6898.64,-13094.71,-9783.46,-3988.12
5865.2883,-6904.56,-13093.66,-9786.23,-3987.03
5865.2923,-6913.52,-13096.76,-9791.09,-3987.41
5865.2963,-6912.38,-13094.05,-9787.61,-3984.31
5865.3003,-6899.79,-13086.99,-9775.4,-3977.87
5865.3043,-6896.16,-13085.18,-9773.83,-3975.73
5865.3083,-6899.93,-13081.74,-9777.88,-3975.34
5865.3123,-6902.74,-13079.17,-9780.74,-3973.82
5865.3163,-6897.93,-13076.26,-9780.46,-3972.15
5865.3203,-6890.25,-13079.07,-9781.89,-3976.39
5865.3243,-6890.39,-13084.56,-9785.46,-3981.88
5865.3283,-6895.73,-13087.7,-9790.61,-3985.36
5865.3323,-6897.16,-13085.8,-9790.8,-3983.55
5865.3363,-6898.59,-13086.65,-9789.75,-3983.07
5865.3403,-6895.4,-13087.42,-9782.6,-3981.73
5865.3443,-6894.45,-13087.46,-9780.27,-3980.35
5865.3483,-6894.49,-13083.08,-9778.6,-3975.73
5865.3523,-6894.78,-13079.26,-9778.21,-3971.91
5865.3563,-6894.68,-13079.93,-9777.83,-3972.91
5865.3603,-6889.25,-13080.98,-9774.45,-3973.01
5865.3643,-6880.09,-13073.45,-9768.68,-3967.67
5865.3683,-6876.28,-13066.2,-9768.92,-3965.04
5865.3723,-6878.95,-13064.48,-9774.02,-3966.57
5865.3763,-6882.57,-13068.96,-9778.41,-3972.34
5865.3803,-6880.76,-13072.3,-9777.88,-3976.87
5865.3843,-6871.8,-13066.44,-9766.87,-3969.62
5865.3883,-6867.93,-13059.14,-9757.57,-3959.04
5865.3923,-6873.18,-13057.81,-9758.9,-3953.89
5865.3963,-6878.23,-13062.81,-9761.14,-3958.08
5865.4003,-6875.13,-13065.48,-9757.38,-3959.51
5865.4043,-6870.89,-13065.67,-9756.9,-3958.13
5865.4083,-6869.94,-13061.62,-9760.19,-3956.75
5865.4123,-6870.84,-13058.23,-9760.71,-3953.89
5865.4163,-6873.23,-13059.09,-9760.14,-3954.98
5865.4203,-6863.79,-13053.7,-9750.56,-3950.55
5865.4243,-6852.53,-13043.93,-9742.17,-3942.82
5865.4283,-6849.67,-13036.78,-9739.02,-3937.91
5865.4323,-6852.44,-13035.92,-9738.3,-3936.2
5865.4363,-6853.63,-13038.02,-9738.26,-3936.48
